VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080.0,3811251.5985717773,142049.0,5101919.546913147,672819.34116745,260999.1987812519,68601.68014144897,1290667.9483413696,25.297693083425283,0.9791080783016267,1.338646745028597
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038.0,3804041.2226428986,160247.0,4819073.493686676,561512.3758506775,294438.65792024136,144929.24016594887,1015032.2710437775,21.06280952912507,0.9768895012131336,1.266829987278259
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407.0,3418303.6833457947,187140.0,4538120.594573975,461140.1456890106,343854.06779289246,123780.22020339966,1119816.91122818,24.675785667024677,0.9985752933454993,1.3275943318564711
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682.0,3261197.9465236664,200412.0,4475972.857887268,420050.0057888031,368242.7972943783,257032.06952285767,1214774.9113636017,27.1399079023235,0.9937029581221923,1.372493461385413
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109.0,3023205.9938201904,135838.0,4223107.623004913,545778.2833118439,249587.82880830765,257032.06952285767,1199901.629184723,28.41276463446944,0.9835564662693959,1.396897079338117
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809.0,2466635.94355011,141860.0,3383912.3922462463,446932.0858364105,111699.19068181515,89286.26965904236,917276.4486961365,27.106979802371505,1.0219798428055817,1.3718734623545397
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783.0,2177285.0778751373,69627.0,2773367.7633399963,614529.3654556274,127931.67004430294,123780.22020339966,596082.685464859,21.49309923278946,0.9836683949535906,1.2737733756236413
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386.0,2088334.8316822052,148265.0,2592041.347211838,292586.2862071991,272422.59835374355,257032.06952285767,503706.51552963257,19.43281175168949,0.9186980283295949,1.2412000738042015
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835.0,1903739.5464324951,90481.0,2640491.1842079163,503661.01826667786,166244.43946230412,257032.06952285767,736751.6377754211,27.902067697924497,0.9852561659498013,1.387002328735595
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866.0,1773427.1457252502,107061.0,2435393.375793457,426902.77576065063,196707.34899687767,123880.96989059448,661966.2300682068,27.181080339948636,0.9834199842007606,1.3732694808827306
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205.0,1530426.0921001434,91247.0,2148965.5201301575,436011.6357574463,71840.57042443752,123780.22020339966,618539.428030014,28.783124821497864,0.9789925433184915,1.404161580374794
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942.0,1498161.9590377808,61433.0,1840615.6660346985,442856.1986732483,112875.1899946928,257032.06952285767,342453.7069969177,18.605389126926074,0.917704878850348,1.2285825674127144
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001.0,1478001.425004959,70122.0,2189368.784547806,495957.8340702057,128839.0799818039,89286.26965904236,711367.3595428467,32.49189284891413,1.0162461413602701,1.4813035681210251
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668.0,1460072.357049942,214238.0,2326007.784444809,189608.95611858368,24083.770019337535,17587.590042114258,865935.427394867,37.22839765136709,0.9933694382105829,1.593077064443901
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951.0,1452173.3202056885,41639.0,2009508.6391906738,662320.0629882812,32783.09026646614,68054.7001876831,557335.3189849854,27.734905345291335,0.9694535633629019,1.3837939392152194
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596.0,1414552.912891388,28372.0,1739044.2962150574,507291.43964385986,52133.720160126686,257032.06952285767,324491.38332366943,18.65917872419401,0.897961767312318,1.2293950126336382
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645.0,1399080.1483154297,59771.0,1844950.2837905884,504735.05627059937,109817.06999921799,123780.22020339966,445870.1354751587,24.16705422322195,0.9855882595432435,1.3186880580158407
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249.0,1396130.7809410095,65184.0,2068091.178483963,494487.6650314331,119767.4898878336,257032.06952285767,671960.3975429535,32.4918168277059,1.0145527556849134,1.4813019000197416
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546.0,1373128.4664421082,47966.0,1884307.3712234497,596574.9553565979,88129.8002398014,257032.06952285767,511178.90478134155,27.128212338809753,1.0088335506667228,1.3722731829352057
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078.0,1317439.4817085266,79042.0,1635666.5708789825,121065.2486667633,145234.948828578,257032.06952285767,318227.08917045593,19.455498745043464,0.9995447532815701,1.241549682993986
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349.0,1283470.6166591644,56888.0,1766391.124917984,460087.9553089142,104524.54004895687,89286.26965904236,482920.5082588196,27.339387151939082,0.9919614988927444,1.3762614445477896
